station,countAccidents,lat,lon
Manuwangama,28,7.6005521,79.8273142
Bangadeniya,1,7.6272658,79.828545
Arachchikattuwa,21,,
Anawilundawa,1,,
Battaluoya,17,,
Pulachchikulam,1,,
Mundal,19,,
Mangalaeliya,1,,
Madurankuliya,22,7.9020671,79.8204737
Erukkalam pendu,1,,
Palavi,13,7.9816689499999995,79.83281210338856
Thilladiya,1,,
Puttalam,16,8.0226824,79.83784261593797
Noor Nagar,1,8.035971,79.8398157
Karadipuwar,23,,
Periyanagavillu,1,8.2280938,79.8675089
Girambe,17,7.3646656,80.3024553
Talawattegedara,1,,
Potuhera,22,,
Nailiya,1,7.4499947,80.3586472
Kurunegala,11,7.47704785,80.37424803370916
Muththettugala,1,,
Wellawa,1,7.5597285,80.3661713
Ganewatte,1,7.6550423,80.3488215
Yahapauwa,1,,
Nagollagama,1,7.7535513,80.3146991
Timbiriyagedara,1,7.7813253,80.2977595
Maho,1,,
Randenigama,1,7.848542,80.2593862
Abanpola,1,,
Galgamuwa,1,8.0021668,80.2714997
Senarathgama,1,8.085871099999999,80.27770955
Thambuttegama,1,8.1543728,80.3038123
Talawa,1,8.231766,80.34833917729785
Srawasthipura,1,8.2988179,80.37699072352228
Anuradhapura Town,1,,
Anuradhapura,1,8.34623435,80.41108407482137
Mihintale Junction,1,8.359397399999999,80.41860269132093
Saliyapura,1,8.3899089,80.4222674
Parasangahawewa,1,8.4453686,80.43152814999999
Medagama,1,,
Medawachchiya,1,8.5545118,80.458087
Poonewa,1,,
Erittaperiyakulam,1,,
Vavuniya,1,8.753866,80.4936629
Mihintale,1,8.3585608,80.5017073293694
Secretartat Halt,12,,
Kompnnavidiya,1,,
Kollupitiya,7,6.9113228,79.8481929
Bambalapitiya,1,6.8939813,79.8529747
wellawatte,1,,
Dehiwala,1,6.8512255,79.8642512
Mount Laviniya,17,,
Rathmalana,1,6.8151872,79.8668707
Angulana,8,6.7988303,79.8727054
Lunawa,1,6.786652,79.8755526
Moratuwa,5,6.7743504,79.8817806
Koralawella,1,,
Egodauyana,27,,
Panadura,1,6.712481349999999,79.90457251163255
Pinwatte,35,,
Wadduwa,1,6.6632114,79.9285614
Train Halt 01,19,,
Kalutara North,1,,
Kaluthara South,8,,
Katukurunda,1,6.5601827,79.9659991
Payagala North,25,,
Payagala south,1,,
Maggona,33,6.5048756,79.9814195
Beruwala,1,6.4768931,79.9836883
Hettimulla,19,6.4578453,79.9907635
Aluthgama,1,6.4323352,80.0002675
Bentota,20,6.4221857,79.9966032
Induruwa,1,6.3874272,80.0087108
Mha Induruwa,16,,
kosgoda,1,6.3385525,80.0294246
Piyagama,13,6.3293476,80.0336688
Ahungalle,1,,
Patagamgoda,26,,
Balapitiya,1,,
Andadola,19,6.2663183,80.046979
Kandegoda,1,6.250272,80.0529491
Ambalangoda,26,6.2353754,80.0549325
Madampagama,1,6.2122502,80.0613096
Akurala,34,6.1921065,80.0648773
Kahawa,1,,
Telwatte,12,6.1691433,80.0889326
Seenigama,1,6.1587486,80.0948251
Hikkaduwa,20,6.1420637,80.1001719
Thiranagama,1,6.1223772,80.1144287
Kumarakanda,19,6.1123699,80.124281
Dodanduwa,1,6.0982524,80.1329228
Rathgama,13,6.0933353,80.1400164
Boossa,1,6.0738123,80.1610723
Ginthota,12,6.0608932,80.1792993
Piyadigama,1,6.0536664,80.19100174653434
Richmond Hill,14,6.0538956,80.2047937
Galle,1,6.03472495,80.21417817410725
Katugoda,19,6.0327634,80.2402032
Unawatuna,1,6.0220278,80.2491475
Taple,17,,
Habaraduwa,1,5.9939792,80.30837832991804
Koggala,17,5.985952299999999,80.33163470499483
Kathaluwa,1,5.9825774,80.34042395594136
Ahangama,22,5.973229099999999,80.36392056020001
Midigama,1,5.965211,80.3915605
Kumbalgama,12,5.9636147,80.4097062
weligama,1,5.9756587,80.4294529
Polwathumodara,12,5.9645666,80.457268
Mirissa,1,5.9567029,80.4735043
Kamburugamuwa,23,5.9434064,80.49579621615075
Walgama,1,5.9454027499999995,80.51419102773141
Matara,35,,
Piliduwa,1,,
